standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,18,girls,100 fr,scy,68.39,63.49,58.59,56.19,53.79,51.29
single_age,,18,girls,200 fr,scy,148.59,137.99,127.39,122.09,116.79,111.39
single_age,,18,girls,500 fr,scy,398.19,369.69,341.29,327.09,312.89,298.59
single_age,,18,girls,1000 fr,scy,834.39,774.79,715.19,685.39,655.59,625.79
single_age,,18,girls,1650 fr,scy,1375.39,1277.19,1178.89,1129.79,1080.69,1031.59
single_age,,18,girls,100 bk,scy,74.39,69.09,63.79,61.09,58.49,55.79
single_age,,18,girls,200 bk,scy,161.79,150.19,138.69,132.89,127.09,121.39
single_age,,18,girls,100 br,scy,85.19,79.09,72.99,69.99,66.89,63.89
single_age,,18,girls,200 br,scy,184.89,171.69,158.49,151.89,145.29,138.69
single_age,,18,girls,100 fl,scy,73.89,68.59,63.29,60.69,57.99,55.39
single_age,,18,girls,200 fl,scy,163.59,151.89,140.19,134.39,128.49,122.69
single_age,,18,girls,200 im,scy,166.09,154.29,142.39,136.49,130.49,124.59
single_age,,18,girls,400 im,scy,353.89,328.59,303.39,290.69,278.09,265.39
single_age,,18,boys,50 fr,scy,20.69,21.69,22.69,23.69,25.69,27.59
single_age,,18,boys,100 fr,scy,45.49,47.69,49.89,51.99,56.39,60.69
single_age,,18,boys,200 fr,scy,100.59,105.39,110.19,114.89,124.49,134.09
single_age,,18,boys,500 fr,scy,273.59,286.69,299.69,312.69,338.79,364.79
single_age,,18,boys,1000 fr,scy,574.89,602.29,629.59,656.99,711.79,766.49
single_age,,18,boys,1650 fr,scy,958.19,1003.79,1049.39,1094.99,1186.29,1277.49
single_age,,18,boys,100 bk,scy,49.19,51.59,53.89,56.19,60.89,65.59
single_age,,18,boys,200 bk,scy,108.29,113.49,118.59,123.79,134.09,144.39
single_age,,18,boys,100 br,scy,56.19,58.89,61.59,64.19,69.59,74.89
single_age,,18,boys,200 br,scy,122.19,127.99,133.79,139.59,151.29,162.89
